candidate_event_id,group_id,working_filename,working_path,event_index,onset_seconds,ioi_seconds,onset_frame,onset_strength_norm,candidate_status,event_token,keep_event,review_notes
PERF-001-CAND-0052,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,52,58.653605,0.580499,5052,0.025091,pending_review,,,
PERF-001-CAND-0053,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,53,59.210884,0.557279,5100,0.03994,pending_review,,,
PERF-001-CAND-0054,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,54,59.814603,0.603719,5152,0.035713,pending_review,,,
PERF-001-CAND-0055,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,55,60.383492,0.568889,5201,0.039988,pending_review,,,
PERF-001-CAND-0056,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,56,62.728707,2.345215,5403,0.048207,pending_review,,,
PERF-001-CAND-0057,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,57,63.320816,0.592109,5454,0.027727,pending_review,,,
PERF-001-CAND-0058,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,58,63.901315,0.580499,5504,0.039466,pending_review,,,
PERF-001-CAND-0059,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,59,64.493424,0.592109,5555,0.029092,pending_review,,,
PERF-001-CAND-0060,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,60,65.073923,0.580499,5605,0.036942,pending_review,,,
PERF-001-CAND-0061,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,61,65.352562,0.278639,5629,0.027023,pending_review,,,
PERF-001-CAND-0062,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,62,65.666032,0.313469,5656,0.025981,pending_review,,,
PERF-001-CAND-0063,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,63,66.211701,0.545669,5703,0.024923,pending_review,,,
PERF-001-CAND-0064,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,64,66.81542,0.603719,5755,0.032173,pending_review,,,
PERF-001-CAND-0065,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,65,68.603356,1.787937,5909,0.068857,pending_review,,,
PERF-001-CAND-0066,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,66,69.717914,1.114558,6005,0.040206,pending_review,,,
PERF-001-CAND-0067,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,67,70.333243,0.615329,6058,0.042359,pending_review,,,
PERF-001-CAND-0068,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,68,70.913741,0.580499,6108,0.044016,pending_review,,,
PERF-001-CAND-0069,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,69,72.086349,1.172608,6209,0.0328,pending_review,,,
PERF-001-CAND-0070,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,70,73.235737,1.149388,6308,0.04076,pending_review,,,
PERF-001-CAND-0071,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,71,75.592562,2.356825,6511,0.037825,pending_review,,,
PERF-001-CAND-0072,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,72,76.74195,1.149388,6610,0.041111,pending_review,,,
PERF-001-CAND-0073,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,73,77.926168,1.184218,6712,0.060561,pending_review,,,
PERF-001-CAND-0074,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,74,80.224943,2.298776,6910,0.029542,pending_review,,,
